from,to,year,relationship
reisbeck,dhbw,2012,2
reisbeck,dhbw,2013,2
reisbeck,dhbw,2014,2
reisbeck,dhbw,2015,2
barzel,fsfm,2009,2
barzel,fsfm,2010,2
barzel,fsfm,2011,2
barzel,fsfm,2012,2
barzel,fsfm,2013,2
gruen,hs_darmstadt,2011,2
gruen,hs_darmstadt,2012,2
gruen,hs_darmstadt,2013,2
gruen,hs_darmstadt,2014,2
genius,hs_hannover,2014,2
genius,hs_hannover,2015,2
genius,hs_hannover,2016,2
genius,hs_hannover,2017,2
sievers,hs_mtm,,2
doepke,hs_osnabrueck,2014,2
doepke,hs_osnabrueck,2015,2
doepke,hs_osnabrueck,2016,2
doepke,hs_osnabrueck,2017,2
hackel,hs_wilhelmshaven,2011,2
hackel,hs_wilhelmshaven,2012,2
hackel,hs_wilhelmshaven,2013,2
hackel,hs_wilhelmshaven,2014,2
hackel,hs_wilhelmshaven,2015,2
weiss,ifmk,2009,2
weiss,ifmk,2010,2
weiss,ifmk,2011,2
weiss,ifmk,2012,2
gerlach,mountholyoke,2009,2
gerlach,mountholyoke,2010,2
gerlach,mountholyoke,2011,2
gerlach,mountholyoke,2012,2
bohnerth,nordakademie,2008,2
bohnerth,nordakademie,2009,2
bohnerth,nordakademie,2010,2
bohnerth,nordakademie,2011,2
bohnerth,nordakademie,2012,2
hofmann,tu_chemnitz,2010,2
hofmann,tu_chemnitz,2011,2
hofmann,tu_chemnitz,2012,2
hofmann,tu_chemnitz,2013,2
koerner,tu_dresden,2011,2
koerner,tu_dresden,2012,2
koerner,tu_dresden,2013,2
koerner,tu_dresden,2014,2
koerner,tu_dresden,2015,2
wolter,tu_ilmenau,2009,2
wolter,tu_ilmenau,2010,2
wolter,tu_ilmenau,2011,2
wolter,tu_ilmenau,2012,2
wolter,tu_ilmenau,2013,2
ludwig,uni_augsburg,2010,2
ludwig,uni_augsburg,2011,2
ludwig,uni_augsburg,2012,2
ludwig,uni_augsburg,2013,2
ludwig,uni_augsburg,2014,2
friese,uni_duesseldorf,2009,2
friese,uni_duesseldorf,2010,2
friese,uni_duesseldorf,2011,2
friese,uni_duesseldorf,2012,2
schaeffer,uni_duesseldorf,2009,2
schaeffer,uni_duesseldorf,2010,2
schaeffer,uni_duesseldorf,2011,2
schaeffer,uni_duesseldorf,2012,2
schaeffer,uni_duesseldorf,2013,2
heitzler,uni_freiburg,2010,2
heitzler,uni_freiburg,2011,2
heitzler,uni_freiburg,2012,2
heitzler,uni_freiburg,2013,2
heitzler,uni_freiburg,2014,2
helmhold_buente,uni_goettingen,2007,2
helmhold_buente,uni_goettingen,2008,2
helmhold_buente,uni_goettingen,2009,2
helmhold_buente,uni_goettingen,2010,2
reidinger,uni_hohenheim,2008,2
reidinger,uni_hohenheim,2009,2
reidinger,uni_hohenheim,2010,2
reidinger,uni_hohenheim,2011,2
koester,uni_koblenzlandau,2010,2
koester,uni_koblenzlandau,2011,2
koester,uni_koblenzlandau,2012,2
koester,uni_koblenzlandau,2013,2
tropper,uni_leipzig,2010,2
tropper,uni_leipzig,2011,2
tropper,uni_leipzig,2012,2
tropper,uni_leipzig,2013,2
tropper,uni_leipzig,2014,2
planz,uni_lumiere,2010,2
planz,uni_lumiere,2011,2
planz,uni_lumiere,2012,2
nicolai,uni_mainz,2008,2
nicolai,uni_mainz,2009,2
nicolai,uni_mainz,2010,2
nicolai,uni_mainz,2011,2
nicolai,uni_mainz,2012,2
fuhrmann,uni_malmoe,2010,2
fuhrmann,uni_malmoe,2011,2
fuhrmann,uni_malmoe,2012,2
fuhrmann,uni_malmoe,2013,2
blokhina,uni_muenchen,2011,2
blokhina,uni_muenchen,2012,2
blokhina,uni_muenchen,2013,2
blokhina,uni_muenchen,2014,2
blokhina,uni_muenchen,2015,2
kaiser,uni_paderborn,2010,2
kaiser,uni_paderborn,2011,2
kaiser,uni_paderborn,2012,2
kaiser,uni_paderborn,2013,2
bisswanger,uni_salzburg,2011,2
bisswanger,uni_salzburg,2012,2
bisswanger,uni_salzburg,2013,2
bisswanger,uni_salzburg,2014,2
bisswanger,uni_salzburg,2015,2
karl,uni_tuebingen,2009,2
karl,uni_tuebingen,2010,2
karl,uni_tuebingen,2011,2
karl,uni_tuebingen,2012,2
gluckin,uni_washington,2009,2
gluckin,uni_washington,2010,2
gluckin,uni_washington,2011,2
gluckin,uni_washington,2012,2
gluckin,uni_washington,2013,2
planz,uni_weimar,2009,2
planz,uni_weimar,2010,2
planz,uni_weimar,2011,2
planz,uni_weimar,2012,2
hoyningen_huene,uni_wien,2008,2
hoyningen_huene,uni_wien,2009,2
