from,to,year,relationship
agci,365sherpas,2006,9
agci,uni_muenster,2007,19
agueera,siemens,2007,9
agueera,uni_augsburg,2007,19
ahrens,dazn,2008,7
ahrens,dazn,2008,7
ahrens,depak,2008,6
ahrens,dumont,2008,10
ahrens,dumont,2008,10
ahrens,dumont,2008,10
ahrens,hs_quadriga,2008,6
ahrens,hs_quadriga,2008,6
ahrens,rheinischepost,2008,7
ahrens,rheinischepost,2008,10
ahrens,rheinischepost,2008,10
ahrens,rheinischepost,2008,10
ahrens,rheinischepost,2008,10
ahrens,rheinischepost,2008,10
ahrens,telekom,2008,8
ahrens,telekom,2008,8
ahrens,telekom,2008,8
ahrens,telekom,2008,8
ahrens,telekom,2008,9
ahrens,telekom,2008,9
ahrens,telekom,2008,9
ahrens,uni_halle,2009,2
ahrens,uni_halle,2009,2
ahrens,uni_halle,2009,2
ahrens,uni_halle,2009,2
ahrens,wdr,2009,7
ainetter,uni_innsbruck,2009,19
ainetter,verkehrsministerium,2009,9
albrink,djv,2009,11
albrink,fh_mittelstand,2009,2
albrink,trailblazers,2009,12
albrink,uni_amsterdam,2009,4
albrink,uni_hamburg,2009,3
altpeter,campusradio,2009,7
altpeter,deekeling,2009,7
altpeter,deekeling,2009,7
altpeter,depak,2009,3
altpeter,depak,2009,3
altpeter,deutschlandstip,2009,14
altpeter,dprg,2009,13
altpeter,express,2009,10
altpeter,fom,2009,3
altpeter,fom,2009,3
altpeter,fom,2009,3
altpeter,ista,2009,9
altpeter,ista,2009,9
altpeter,leinhos,2009,17
altpeter,uni_duesseldorf,2009,2
altpeter,uni_duesseldorf,2009,2
altpeter,uni_duesseldorf,2009,2
altpeter,uni_duesseldorf,2009,2
altpeter,uni_duesseldorf,2009,2
altpeter,uni_duesseldorf,2009,13
altpeter,uni_duesseldorf,2009,13
altpeter,uni_prag,2009,4
altpeter,vodafone,2009,7
altpeter,vodafone,2009,7
altpeter,vodafone,2009,8
altpeter,vodafone,2009,8
altpeter,vodafone,2009,9
altpeter,vodafone,2009,9
altpeter,vodafone,2009,9
altpeter,vodafone,2009,9
altpeter,vodafone,2009,9
altpeter,wdr,2009,8
arweck,porsche,2009,9
arweck,tu_chemnitz,2009,5
arweck,uni_passau,2009,19
assheuer,deutschebotschaft,2010,7
assheuer,hillknowlton,2010,7
assheuer,hillknowlton,2010,9
assheuer,hillknowlton,2010,9
assheuer,hillknowlton,2010,9
assheuer,hillknowlton,2010,9
assheuer,hillknowlton,2010,9
assheuer,hillknowlton,2010,9
assheuer,humboldtuni,2010,4
assheuer,mountainnews,2010,7
assheuer,sciencespo_paris,2010,4
assheuer,sciencespo_paris,2010,4
assheuer,uni_bath,2010,3
assheuer,uni_bath,2010,3
assheuer,uni_bath,2010,3
assheuer,uni_mannheim,2010,7
assheuer,uni_mannheim,2010,7
assheuer,uni_mannheim,2010,2
assheuer,uni_mannheim,2010,2
assheuer,uni_mannheim,2010,2
assheuer,uni_mannheim,2010,2
assheuer,uni_mannheim,2010,2
assheuer,uni_oslo,2010,4
assheuer,viessmann,2010,9
assheuer,viessmann,2010,9
auksutat,bdkom,2010,13
auksutat,bdkom,2010,13
auksutat,beauty_hills,2010,
auksutat,beauty_hills,2010,7
auksutat,beauty_hills,2010,7
auksutat,commerzbank,2010,7
auksutat,commerzbank,2010,7
auksutat,deka,2010,7
auksutat,dprg,2010,11
auksutat,dprg,2010,11
auksutat,dprg,2010,11
auksutat,dprg,2010,11
auksutat,dprg,2010,11
auksutat,hessischerrundfunk,2010,10
auksutat,hessischerrundfunk,2010,10
auksutat,hessischerrundfunk,2010,10
auksutat,hessischerrundfunk,2010,10
auksutat,hessischerrundfunk,2010,10
auksutat,hessischerrundfunk,2010,10
auksutat,lprs,2010,13
auksutat,lprs,2010,13
auksutat,microsoft,2010,7
auksutat,microsoft,2010,7
auksutat,microsoft,2010,8
auksutat,microsoft,2010,8
auksutat,microsoft,2010,9
auksutat,microsoft,2010,9
auksutat,tanzschule,2010,9
auksutat,tanzschule,2010,9
auksutat,tanzschule,2010,9
auksutat,tanzschule,2010,9
auksutat,tanzschule,2010,9
auksutat,tanzschule,2010,9
auksutat,tanzschule,2010,9
auksutat,uni_hongkong,2010,4
auksutat,uni_leipzig,2010,
auksutat,uni_leipzig,2010,3
auksutat,uni_leipzig,2010,3
auksutat,uni_leipzig,2010,3
auksutat,uni_leipzig,2010,3
auksutat,uni_mannheim,2010,7
auksutat,uni_mannheim,2010,7
auksutat,uni_mannheim,2010,2
auksutat,uni_mannheim,2010,2
auksutat,uni_mannheim,2010,2
auksutat,uni_mannheim,2010,2
auksutat,uni_mannheim,2010,2
auksutat,uni_pace,2010,4
bachmann,academic_concept,2010,10
bachmann,academic_concept,2010,10
bachmann,academic_concept,2010,10
bachmann,academic_concept,2010,10
bachmann,frankfurterrundschau,2010,7
bachmann,hessenchemie,2010,8
bachmann,hessenchemie,2010,8
bachmann,hessenchemie,2010,8
bachmann,hs_rheinmain,2010,2
bachmann,hs_rheinmain,2010,2
bachmann,hs_rheinmain,2010,2
bachmann,hs_rheinmain,2010,2
bachmann,hs_rheinmain,2010,2
bachmann,merck,2010,9
bachmann,merck,2010,9
bachmann,merck,2010,9
bachmann,merck,2010,9
bachmann,merck,2010,9
bachmann,merck,2010,9
bachmann,seychelles,2010,7
bachmann,seychelles,2010,7
bachmann,seychelles,2010,7
balkmann,hs_osnabrueck,2010,3
balkmann,ism,2010,2
balkmann,ressourcenmangel,2010,9
balkmann,unitec,2010,4
barzel,apple,2010,7
barzel,daad,2010,14
barzel,euparlament,2010,9
barzel,foundamental,2010,9
barzel,foundamental,2010,9
barzel,fsfm,2010,2
barzel,fsfm,2010,2
barzel,fsfm,2010,2
barzel,fsfm,2010,2
barzel,fsfm,2010,2
barzel,goodthoughts,2010,9
barzel,goodthoughts,2010,9
barzel,lse_london,2011,3
barzel,lse_london,2011,3
barzel,lupus_alpha,2011,7
barzel,promos,2011,14
barzel,thyssenkrupp,2011,9
barzel,thyssenkrupp,2011,9
barzel,thyssenkrupp,2011,9
barzel,thyssenkrupp,2011,9
barzel,thyssenkrupp,2011,9
barzel,thyssenkrupp,2011,9
barzel,thyssenkrupp,2011,9
barzel,uni_boston,2011,4
barzel,uni_boston,2011,4
batonnier,dfjw,2011,9
baumann,computacenter,2011,9
baumann,uni_mainz,2011,19
becker,hs_darmstadt,2011,3
becker,lufthansa,2011,9
behrendt,uni_koeln,2011,20
behrendt,wirtschaftsinstitut,2011,9
benndorf,ressourcenmangel,2011,9
bertermann,auto1,2011,12
bertermann,uni_mannheim,2011,
bessenbach,3m,2011,7
bessenbach,blankenagel,2011,17
bessenbach,jamous,2011,17
bessenbach,klarna,2011,9
bessenbach,klarna,2011,9
bessenbach,solaris,2011,7
bessenbach,solaris,2011,7
bessenbach,solaris,2011,9
bessenbach,solaris,2011,9
bessenbach,solaris,2011,9
bessenbach,solaris,2011,9
bessenbach,ultraair,2011,7
bessenbach,uni_warwick,2011,2
bessenbach,uni_warwick,2011,2
bessenbach,uni_warwick,2011,2
bessenbach,uni_warwick,2011,2
bessenbach,vodafone,2011,7
bieller,computacenter,2011,9
bieller,uni_hohenheim,2011,3
bieller,uni_mannheim,2011,2
bischoff,carta,2011,9
bischoff,uni_freiburg,2011,19
bischoff,uni_freiburg,2011,19
bisswanger,aiesec,2011,11
bisswanger,aiesec,2011,11
bisswanger,emanate,2011,7
bisswanger,heringschuppener,2011,7
bisswanger,heringschuppener,2011,9
bisswanger,heringschuppener,2011,9
bisswanger,heringschuppener,2011,9
bisswanger,hmkw,2011,15
bisswanger,lprs,2011,11
bisswanger,porsche,2011,7
bisswanger,proctergamble,2011,9
bisswanger,proctergamble,2011,9
bisswanger,proctergamble,2011,9
bisswanger,promos,2011,14
bisswanger,quint,2011,7
bisswanger,quint,2011,7
bisswanger,redbull,2011,7
bisswanger,redbull,2011,7
bisswanger,uni_fudan,2011,4
bisswanger,uni_leeds,2011,4
bisswanger,uni_leeds,2011,4
bisswanger,uni_leipzig,2011,7
bisswanger,uni_leipzig,2011,7
bisswanger,uni_leipzig,2011,3
bisswanger,uni_leipzig,2011,3
bisswanger,uni_leipzig,2011,3
bisswanger,uni_ohio,2011,4
bisswanger,uni_peking,2011,4
bisswanger,uni_salzburg,2011,2
bisswanger,uni_salzburg,2011,2
bisswanger,uni_salzburg,2011,2
bisswanger,uni_salzburg,2011,2
bisswanger,uni_salzburg,2011,2
bisswanger,uni_salzburg,2011,14
blankenagel,solaris,2011,9
blankenagel,uni_hohenheim,2011,3
blankenagel,uni_mainz,2011,2
blokhina,astellas,2011,7
blokhina,astellas,2011,7
blokhina,astellas,2011,7
blokhina,msd,2011,9
blokhina,msd,2011,9
blokhina,msd,2011,9
blokhina,serviceplan,2011,9
blokhina,serviceplan,2011,9
blokhina,serviceplan,2011,9
blokhina,uni_muenchen,2011,2
