from,to,year,relationship
agci,365sherpas,99,9
agci,uni_muenster,99,19
agueera,siemens,99,9
agueera,uni_augsburg,99,19
ahrens,uni_halle,2012,2
ahrens,uni_halle,2013,2
ahrens,uni_halle,2014,2
ahrens,uni_halle,2015,2
ahrens,hs_quadriga,2016,3
ahrens,hs_quadriga,2017,3
ahrens,depak,2016,6
ahrens,rheinischepost,2012,7
ahrens,wdr,2014,7
ahrens,dazn,2015,7
ahrens,dazn,2016,7
ahrens,telekom,2016,8
ahrens,telekom,2017,8
ahrens,telekom,2018,8
ahrens,telekom,2019,8
ahrens,telekom,2020,8
ahrens,telekom,2020,9
ahrens,telekom,2021,9
ahrens,telekom,2022,9
ahrens,rheinischepost,2012,10
ahrens,dumont,2013,10
ahrens,rheinischepost,2013,10
ahrens,dumont,2014,10
ahrens,rheinischepost,2014,10
ahrens,dumont,2015,10
ahrens,rheinischepost,2015,10
ahrens,rheinischepost,2016,10
ainetter,verkehrsministerium,99,9
ainetter,uni_innsbruck,99,19
albrink,fh_mittelstand,99,2
albrink,uni_hamburg,99,3
albrink,uni_amsterdam,99,4
albrink,djv,99,11
albrink,trailblazers,99,12
altpeter,uni_duesseldorf,2010,2
altpeter,uni_duesseldorf,2011,2
altpeter,uni_duesseldorf,2012,2
altpeter,uni_duesseldorf,2013,2
altpeter,uni_duesseldorf,2014,2
altpeter,depak,2014,3
altpeter,depak,2015,3
altpeter,fom,2018,3
altpeter,fom,2019,3
altpeter,fom,2020,3
altpeter,uni_prag,2012,4
altpeter,campusradio,2008,7
altpeter,deekeling,2012,7
altpeter,deekeling,2013,7
altpeter,vodafone,2013,7
altpeter,vodafone,2014,7
altpeter,vodafone,2014,8
altpeter,vodafone,2015,8
altpeter,wdr,2015,8
altpeter,vodafone,2015,9
altpeter,vodafone,2016,9
altpeter,vodafone,2017,9
altpeter,vodafone,2018,9
altpeter,vodafone,2019,9
altpeter,ista,2021,9
altpeter,ista,2022,9
altpeter,express,2010,10
altpeter,dprg,2020,13
altpeter,dprg,2021,13
altpeter,dprg,2022,13
altpeter,deutschlandstip,2013,14
altpeter,leinhos,99,17
arweck,tu_chemnitz,99,5
arweck,porsche,99,9
arweck,uni_passau,99,19
assheuer,uni_mannheim,2010,2
assheuer,uni_mannheim,2011,2
assheuer,uni_mannheim,2012,2
assheuer,uni_mannheim,2013,2
assheuer,uni_mannheim,2014,2
assheuer,uni_bath,2014,3
assheuer,uni_bath,2015,3
assheuer,uni_bath,2016,3
assheuer,uni_oslo,2012,4
assheuer,humboldtuni,2015,4
assheuer,sciencespo_paris,2015,4
assheuer,sciencespo_paris,2016,4
assheuer,uni_mannheim,2011,7
assheuer,uni_mannheim,2012,7
assheuer,deutschebotschaft,2013,7
assheuer,mountainnews,2013,7
assheuer,hillknowlton,2016,7
assheuer,hillknowlton,2016,9
assheuer,hillknowlton,2017,9
assheuer,hillknowlton,2018,9
assheuer,hillknowlton,2019,9
assheuer,hillknowlton,2020,9
assheuer,hillknowlton,2021,9
assheuer,viessmann,2021,9
assheuer,viessmann,2022,9
auksutat,uni_mannheim,2013,2
auksutat,uni_mannheim,2014,2
auksutat,uni_mannheim,2015,2
auksutat,uni_mannheim,2016,2
auksutat,uni_mannheim,2017,2
auksutat,uni_leipzig,2017,3
auksutat,uni_leipzig,2018,3
auksutat,uni_leipzig,2019,3
auksutat,uni_leipzig,2020,3
auksutat,uni_pace,2015,4
auksutat,uni_hongkong,2018,4
auksutat,deka,2011,7
auksutat,uni_mannheim,2014,7
auksutat,uni_mannheim,2015,7
auksutat,commerzbank,2016,7
auksutat,beauty_hills,2017,7
auksutat,commerzbank,2017,7
auksutat,uni_leipzig,2017,7
auksutat,beauty_hills,2018,7
auksutat,beauty_hills,2019,7
auksutat,microsoft,2019,7
