from,to,year,relationship
hofmann,absolventa,2012,7
ludwig,amnesty,2013,7
barzel,apple,2010,7
nicolai,arsedition,2010,7
blokhina,astellas,2014,7
blokhina,astellas,2015,7
blokhina,astellas,2016,7
hoyningen_huene,audi,2012,7
hoyningen_huene,audi,2013,7
hackel,axelspringer,2013,7
hackel,bbdo,2015,7
tropper,bmw,2013,7
genius,brainpool,2014,7
weiss,brandfuel,2010,7
nicolai,burson_marsteller,2013,7
nicolai,burson_marsteller,2014,7
weiss,burson_marsteller,2011,7
weiss,burson_marsteller,2012,7
gluckin,cls_associates,2013,7
gluckin,cognito,2011,7
gluckin,cognito,2012,7
reidinger,communication_consultants,2013,7
reidinger,communication_consultants,2014,7
fuhrmann,deutschebotschaft,2012,7
fuhrmann,deutschebotschaft,2013,7
doepke,edelman,2015,7
planz,edelman,2012,7
planz,edelman,2013,7
bisswanger,emanate,2013,7
hoyningen_huene,enbw,2012,7
koerner,eplseslang,2013,7
genius,faktor3,2015,7
weiss,flemmingpfuhl,2010,7
wolter,gemeindebund,2012,7
hoyningen_huene,heimat,2012,7
bisswanger,heringschuppener,2016,7
reidinger,horvath,2010,7
reidinger,horvath,2011,7
reidinger,horvath,2012,7
gruen,hs_darmstadt,2012,7
gruen,hs_darmstadt,2013,7
gruen,ikea,2016,7
gruen,ikea,2017,7
gruen,israeltoday,2010,7
helmhold_buente,johanniter,2012,7
helmhold_buente,johanniter,2014,7
bohnerth,johannsen_kretschmer,2014,7
bohnerth,johannsen_kretschmer,2015,7
heitzler,ketchum,2013,7
heitzler,ketchum,2014,7
nicolai,klenkhoursch,2014,7
sievers,legrand_rosenboom,2011,7
sievers,legrand_rosenboom,2012,7
barzel,lupus_alpha,2011,7
hoyningen_huene,macmillan,2009,7
sievers,madsack,2011,7
planz,mannbeissthund,2011,7
fuhrmann,marshall,2014,7
genius,ndr,2014,7
koester,omnicom,2012,7
koester,omnicom,2014,7
koester,omnicom,2015,7
bisswanger,porsche,2015,7
koerner,prinovis,2011,7
koerner,prinovis,2012,7
koerner,prinovis,2013,7
koerner,prinovis,2014,7
bisswanger,quint,2007,7
bisswanger,quint,2008,7
heitzler,radio_regenbogen,2010,7
bisswanger,redbull,2013,7
bisswanger,redbull,2014,7
wolter,reed_exhibit,2013,7
sievers,rocket_internet,2014,7
tropper,rtl,2012,7
nicolai,schnabel_ag,2011,7
nicolai,schnabel_ag,2012,7
koerner,seedmatch,2014,7
wolter,serviceplan,2015,7
tropper,sparkasse,2013,7
tropper,sparkasse,2014,7
ludwig,stiftung_bmw,2014,7
hoyningen_huene,streeterville,2008,7
hackel,tbwa,2015,7
koester,tchibo,2015,7
gerlach,thomsonreuters,2011,7
sievers,triscore,2012,7
genius,tui,2016,7
genius,tui,2017,7
heitzler,tv_suedbaden,2010,7
reidinger,uni_hohenheim,2009,7
reidinger,uni_hohenheim,2010,7
bisswanger,uni_leipzig,2016,7
bisswanger,uni_leipzig,2017,7
nicolai,uni_mainz,2013,7
helmhold_buente,verbraucherzentrale,2011,7
wolter,viafintech,2015,7
wolter,viafintech,2016,7
doepke,volkswagen,2016,7
ludwig,webershandwick,2013,7
kaiser,wirtschaftsministerium_thueringen,2011,7
helmhold_buente,yousty,2009,7
helmhold_buente,yousty,2010,7
heitzler,zdf,2009,7
gruen,zdf,2013,7
gruen,zdf,2014,7
gruen,zdf,2015,7
