from,to,year,relationship
auksutat,dprg,2018,11
auksutat,dprg,2019,11
auksutat,dprg,2020,11
auksutat,dprg,2021,11
auksutat,dprg,2022,11
bisswanger,aiesec,2012,11
bisswanger,aiesec,2013,11
bisswanger,lprs,2015,11
bisswanger,lprs,2016,11
bisswanger,lprs,2017,11
bohn,dprg,,11
bohn,gwpr,,11
brockhaus,campusrelations,2013,11
brockhaus,campusrelations,2014,11
brockhaus,campusrelations,2015,11
brockhaus,dprg,2017,11
brockhaus,dprg,2018,11
brockhaus,dprg,2019,11
brockhaus,dprg,2020,11
brockhaus,dprg,2021,11
brockhaus,dprg,2022,11
brockhaus,lprs,2017,11
brockhaus,lprs,2020,11
brockhaus,lprs,2021,11
brockhaus,lprs,2022,11
de_koster,goldenezwanziger,2016,11
de_koster,goldenezwanziger,2017,11
debowska,dprg,,11
dehn,prsh,2012,11
dehn,prsh,2013,11
dehn,prsh,2014,11
dehn,prsh,2015,11
fries,koenigswinter,2019,11
gardeweg,kommunikos,2017,11
gardeweg,prsh,2018,11
gardeweg,prsh,2019,11
girard,bdkom,2017,11
girard,dprg,2019,11
girard,dprg,2020,11
girard,dprg,2021,11
girard,dprg,2022,11
girard,gwpr,2021,11
girard,gwpr,2022,11
girard,priho,2015,11
girard,priho,2016,11
girard,priho,2017,11
girard,priho,2018,11
graupner,degepol,2020,11
graupner,degepol,2021,11
graupner,degepol,2022,11
guettner,bdkom,2018,11
guettner,bdkom,2019,11
guettner,bdkom,2020,11
guettner,bdkom,2021,11
guettner,bdkom,2022,11
guettner,djv,,11
guettner,dprg,,11
hein,bdkom,2015,11
kiesewetter,bdkom,2016,11
kiesewetter,bdkom,2017,11
kiesewetter,bdkom,2018,11
kiesewetter,bdkom,2019,11
kiesewetter,bdkom,2020,11
kiesewetter,bdkom,2021,11
kiesewetter,bdkom,2022,11
kiesewetter,dirk,,11
kohl,bdkom,,11
lenzke,debattierclub,,11
lenzke,debattiergesellschaft,,11
lohse,koenigswinter,,11
nebe,dprg,2012,11
nebe,dprg,2013,11
nebe,dprg,2014,11
nebe,dprg,2015,11
nebe,dprg,2016,11
nebe,dprg,2017,11
nebe,dprg,2018,11
nebe,dprg,2019,11
nebe,dprg,2020,11
nebe,dprg,2021,11
nebe,dprg,2022,11
ostermeier,lprs,2014,11
ostermeier,lprs,2015,11
ostermeier,lprs,2016,11
ostermeier,lprs,2017,11
remberg,aiesec,2012,11
remberg,aiesec,2013,11
remberg,aiesec,2014,11
remberg,aiesec,2015,11
remberg,bdkom,2017,11
remberg,bdkom,2018,11
remberg,bdkom,2019,11
remberg,bdkom,2020,11
remberg,bdkom,2021,11
remberg,bdkom,2022,11
remberg,kommoguntia,2016,11
remberg,kommoguntia,2017,11
remberg,kommoguntia,2018,11
remberg,kommoguntia,2019,11
remberg,kommoguntia,2020,11
remberg,kommoguntia,2021,11
remberg,kommoguntia,2022,11
storch,buendnis90,2013,11
storch,buendnis90,2014,11
storch,buendnis90,2015,11
storch,buendnis90,2016,11
storch,buendnis90,2017,11
storch,buendnis90,2018,11
storch,buendnis90,2019,11
storch,buendnis90,2020,11
storch,buendnis90,2021,11
storch,buendnis90,2022,11
storch,degepol,2016,11
storch,degepol,2017,11
storch,degepol,2018,11
storch,degepol,2019,11
storch,degepol,2020,11
storch,degepol,2021,11
storch,degepol,2022,11
stork,bdkom,2017,11
stork,bdkom,2018,11
stork,bdkom,2019,11
stork,bdkom,2020,11
stork,bdkom,2021,11
stork,bdkom,2022,11
stork,campusrelations,2010,11
stork,campusrelations,2011,11
stork,campusrelations,2012,11
stork,campusrelations,2013,11
